"order","relfirst","relsecond","tokenfirst","tokensecond","lemmafirst","lemmasecond","uposfirst","upossecond","hmLength","sentence","source","size"
"X-case","root","case","Saavuin","kanssa","saapua","kanssa","VERB","ADP","4","b204.4","tdt_all_gov_target","15135"
"X-case","root","case","Saavuin","ennen","saapua","ennen","VERB","ADP","6","b204.4","tdt_all_gov_target","15135"
"X-case","acl:relcl","case","tallustelin","kohti","tallustella","kohti","VERB","ADP","2","b204.5","tdt_all_gov_target","15135"
"case-X","case","root","vastassa","odotti","vastassa","odottaa","ADP","VERB","1","b204.5","tdt_all_gov_target","15135"
"case-X","case","acl:relcl","kanssa","tallustelin","kanssa","tallustella","ADP","VERB","1","b204.5","tdt_all_gov_target","15135"
"case-X","case","root","kanssa","saapuneita","kanssa","saapua","ADP","VERB","3","b204.6","tdt_all_gov_target","15135"
"X-case","nsubj:cop","case","ongelmia","kanssa","ongelma","kanssa","NOUN","ADP","2","b204.8","tdt_all_gov_target","15135"
"X-case","root","case","juoruilivat","keskellä","juoruilla","keskellä","VERB","ADP","1","b204.21","tdt_all_gov_target","15135"
"case-X","case","root","kanssa","tuli","kanssa","tulla","ADP","VERB","1","b204.26","tdt_all_gov_target","15135"
"X-case","root","case","hukkuisi","sisään","hukkua","sisään","VERB","ADP","2","b204.27","tdt_all_gov_target","15135"
"X-case","conj","case","nautiskelivat","lomassa","nautiskella","lomassa","VERB","ADP","4","b204.29","tdt_all_gov_target","15135"
"X-case","conj","case","epäilyttää","vuoksi","epäilyttää","vuoksi","VERB","ADP","4","b204.33","tdt_all_gov_target","15135"
"case-X","case","obj","lisäksi","alennuskupongin","lisäksi","alennus#kuponki","ADP","NOUN","4","b204.45","tdt_all_gov_target","15135"
"case-X","case","advcl","varten","saada","varten","saada","ADP","VERB","1","b204.49","tdt_all_gov_target","15135"
"X-case","advcl","case","siivosin","varten","siivota","varten","VERB","ADP","4","b204.57","tdt_all_gov_target","15135"
"X-case","csubj","case","tehdä","lähtien","tehdä","lähtien","VERB","ADP","3","b504.4","tdt_all_gov_target","15135"
"X-case","obj","case","pinniä","sijasta","pinni","sijasta","NOUN","ADP","2","b504.13","tdt_all_gov_target","15135"
"X-case","root","case","maksanut","mennessä","maksaa","mennessä","VERB","ADP","2","b504.17","tdt_all_gov_target","15135"
"X-case","acl:relcl","case","koski","sitten","koskea","sitten","VERB","ADP","5","b504.21","tdt_all_gov_target","15135"
"X-case","root","case","Huomasin","sitten","huomata","sitten","VERB","ADP","4","b509.2","tdt_all_gov_target","15135"
"case-X","case","root","jälkeen","näy","jälkeen","näkyä","ADP","VERB","1","b509.16","tdt_all_gov_target","15135"
"X-case","root","case","lähdetään","kanssa","lähteä","kanssa","VERB","ADP","4","b605.7","tdt_all_gov_target","15135"
"X-case","obl","case","viikon","päässä","viikko","päässä","NOUN","ADV","1","b605.9","tdt_all_gov_target","15135"
"X-case","root","case","söimme","kera","syödä","kera","VERB","ADP","7","b716.14","tdt_all_gov_target","15135"
"case-X","case","root","sitten","laajennettiin","sitten","laajentaa","ADP","VERB","3","e1039.13","tdt_all_gov_target","15135"
"X-case","root","case","Muistutan","takana","muistuttaa","takana","VERB","ADP","5","e1050.3","tdt_all_gov_target","15135"
"X-case","ccomp","case","puhuvat","puolesta","puhua","puolesta","VERB","ADP","3","e1059.8","tdt_all_gov_target","15135"
"case-X","case","nsubj","lisäksi","perustelut","lisäksi","perustelu","ADP","NOUN","26","e1059.8","tdt_all_gov_target","15135"
"case-X","case","ccomp","vuoksi","tultaisiin","vuoksi","tulla","ADP","VERB","1","e1059.9","tdt_all_gov_target","15135"
"X-case","root","case","antoi","varten","antaa","varten","VERB","ADP","14","e1059.10","tdt_all_gov_target","15135"
"case-X","case","ccomp","puitteissa","annetaan","puitteissa","antaa","ADP","VERB","1","e1059.18","tdt_all_gov_target","15135"
"X-case","ccomp","case","näkisi","takaa","nähdä","takaa","VERB","ADP","3","f204.5","tdt_all_gov_target","15135"
"X-case","ccomp","case","näkisi","välissä","nähdä","välissä","VERB","ADP","4","f502.3","tdt_all_gov_target","15135"
"X-case","root","case","ilmestynyt","ympärille","ilmestyä","ympärille","VERB","ADP","4","f502.8","tdt_all_gov_target","15135"
"X-case","root","case","Miten","ympärillä","miten","ympärillä","ADV","ADP","14","f502.13","tdt_all_gov_target","15135"
"X-case","conj","case","paljastui","myötä","paljastua","myötä","VERB","ADP","2","f502.20","tdt_all_gov_target","15135"
"X-case","advcl","case","elänyt","kanssa","elää","kanssa","VERB","ADP","2","f502.21","tdt_all_gov_target","15135"
"X-case","advcl","case","elänyt","Ennen","elää","ennen","VERB","ADP","1","f604.1","tdt_all_gov_target","15135"
"X-case","ccomp","case","kuolee","sisään","kuolla","sisään","VERB","ADP","2","f604.10","tdt_all_gov_target","15135"
"X-case","obj","case","selän","ääressä","selkä","ääressä","NOUN","ADP","2","f604.18","tdt_all_gov_target","15135"
