"order","relfirst","relsecond","tokenfirst","tokensecond","lemmafirst","lemmasecond","uposfirst","upossecond","hmLength","sentence","source","size"
"X-case","obl","case","kameraryhmäni","kanssa","kamera#ryhmä","kanssa","NOUN","ADP","1","b204.4","tdt_all","15136"
"case-X","case","obl","ennen","yhtätoista","ennen","yksi#toista","ADP","NUM","1","b204.4","tdt_all","15136"
"X-case","obl","case","minun","vastassa","minä","vastassa","PRON","ADP","1","b204.5","tdt_all","15136"
"X-case","obl","case","joiden","kanssa","joka","kanssa","PRON","ADP","1","b204.5","tdt_all","15136"
"case-X","case","obl","kohti","showroomia","kohti","showroom","ADP","NOUN","1","b204.5","tdt_all","15136"
"X-case","obl","case","Sallan","kanssa","Salla","kanssa","PROPN","ADP","3","b204.6","tdt_all","15136"
"X-case","nmod","case","kamerani","kanssa","kamera","kanssa","NOUN","ADP","1","b204.8","tdt_all","15136"
"case-X","case","obl","keskellä","showroomia","keskellä","showroom","ADP","NOUN","1","b204.21","tdt_all","15136"
"X-case","obl","case","Sallan","kanssa","Salla","kanssa","PROPN","ADP","1","b204.26","tdt_all","15136"
"X-case","obl","case","tuon","sisään","tuo","sisään","PRON","ADP","1","b204.27","tdt_all","15136"
"X-case","obl","case","tutustumisen","lomassa","tutustuminen","lomassa","NOUN","ADP","1","b204.29","tdt_all","15136"
"X-case","obl","case","punttien","vuoksi","puntti","vuoksi","NOUN","ADP","1","b204.33","tdt_all","15136"
"X-case","nmod","case","eväiden","lisäksi","eväs","lisäksi","NOUN","ADP","1","b204.45","tdt_all","15136"
"X-case","obl","case","näitä","varten","tämä","varten","PRON","ADP","1","b204.49","tdt_all","15136"
"X-case","obl","case","kameraryhmää","varten","kamera#ryhmä","varten","NOUN","ADP","1","b204.57","tdt_all","15136"
"X-case","obl","case","alusta","lähtien","alku","lähtien","NOUN","ADP","1","b504.4","tdt_all","15136"
"X-case","nmod","case","14","sijasta","14","sijasta","NUM","ADP","1","b504.13","tdt_all","15136"
"X-case","obl","case","tähän","mennessä","tämä","mennessä","PRON","ADP","1","b504.17","tdt_all","15136"
"X-case","obl","case","vuotta","sitten","vuosi","sitten","NOUN","ADP","1","b504.21","tdt_all","15136"
"X-case","obl","case","aika","sitten","aika","sitten","NOUN","ADP","1","b509.2","tdt_all","15136"
"X-case","obl","case","korjauksen","jälkeen","korjaus","jälkeen","NOUN","ADP","1","b509.16","tdt_all","15136"
"X-case","obl","case","Caron","kanssa","Caro","kanssa","PROPN","ADP","3","b605.7","tdt_all","15136"
"X-case","obl","case","viikon","päässä","viikko","päässä","NOUN","ADV","1","b605.9","tdt_all","15136"
"X-case","obl","case","kyljysten","kera","kyljys","kera","NOUN","ADP","3","b716.14","tdt_all","15136"
"X-case","obl","case","vuosia","sitten","vuosi","sitten","NOUN","ADP","1","e1039.13","tdt_all","15136"
"X-case","ccomp","case","epäluottamuslauseen","takana","epä#luottamus#lause","takana","NOUN","ADP","1","e1050.3","tdt_all","15136"
"X-case","nmod","case","syiden","lisäksi","syy","lisäksi","NOUN","ADP","1","e1059.8","tdt_all","15136"
"X-case","obl","case","ehdotuksen","puolesta","ehdotus","puolesta","NOUN","ADP","1","e1059.8","tdt_all","15136"
"X-case","obl","case","väärinkäsityksen","vuoksi","väärin#käsitys","vuoksi","NOUN","ADP","1","e1059.9","tdt_all","15136"
"X-case","obl","case","toteuttamista","varten","toteuttaminen","varten","NOUN","ADP","6","e1059.10","tdt_all","15136"
"X-case","obl","case","mietinnön","puitteissa","mietintö","puitteissa","NOUN","ADP","1","e1059.18","tdt_all","15136"
"X-case","obl","case","niiden","takaa","se","takaa","PRON","ADP","1","f204.5","tdt_all","15136"
"X-case","root","case","metsien","välissä","metsä","välissä","NOUN","ADP","1","f502.3","tdt_all","15136"
"X-case","obl","case","puiden","ympärille","puu","ympärille","NOUN","ADP","1","f502.8","tdt_all","15136"
"X-case","conj","case","puiden","ympärillä","puu","ympärillä","NOUN","ADP","1","f502.13","tdt_all","15136"
"X-case","obl","case","ajan","myötä","aika","myötä","NOUN","ADP","1","f502.20","tdt_all","15136"
"X-case","obl","case","tämän","kanssa","tämä","kanssa","PRON","ADP","1","f502.21","tdt_all","15136"
"case-X","case","root","Ennen","sairaalaa","ennen","sairaala","ADP","NOUN","1","f604.1","tdt_all","15136"
"X-case","obl","case","vuoden","sisään","vuosi","sisään","NOUN","ADP","1","f604.10","tdt_all","15136"
"X-case","nmod","case","pöydän","ääressä","pöytä","ääressä","NOUN","ADP","1","f604.18","tdt_all","15136"
"case-X","case","obl","ilman","arvailuja","ilman","arvailu","ADP","NOUN","2","f604.24","tdt_all","15136"
"X-case","obl","case","vuoden","päästä","vuosi","päästä","NOUN","ADP","1","f604.28","tdt_all","15136"
"X-case","obl","case","ajan","tasalla","aika","tasalla","NOUN","ADP","1","fC04.8","tdt_all","15136"
"X-case","nmod","case","sen","myötä","se","myötä","PRON","ADP","1","fC04.10","tdt_all","15136"
"X-case","obl","case","lämpenemisen","vuoksi","lämpeneminen","vuoksi","NOUN","ADP","1","fC04.10","tdt_all","15136"
"X-case","obl","case","oven","lävitse","ovi","lävitse","NOUN","ADP","1","fC04.14","tdt_all","15136"
"X-case","nmod","case","toimistobiosfäärin","lisäksi","toimisto#bio#sfääri","lisäksi","NOUN","ADP","1","fC04.17","tdt_all","15136"
"X-case","obl","case","Sen","sijaan","se","sijaan","PRON","ADP","1","fC04.24","tdt_all","15136"
"case-X","case","obl","keskellä","yötä","keskellä","yö","ADP","NOUN","1","h1008.1","tdt_all","15136"
"case-X","case","obl","paitsi","kiertueelle","paitsi","kiertue","ADP","NOUN","1","h1008.2","tdt_all","15136"
"X-case","obl","case","Ansaksen","kanssa","Ansas","kanssa","PROPN","ADP","1","h1008.9","tdt_all","15136"
"case-X","case","obl","ilman","lupaa","ilman","lupa","ADP","NOUN","1","h1014.21","tdt_all","15136"
"X-case","root","case","vararehtorin","mukaan","vara#rehtori","mukaan","NOUN","ADP","3","h1016.7","tdt_all","15136"
"X-case","obl","case","Asiakirjojen","mukaan","asia#kirja","mukaan","NOUN","ADP","1","h1034.14","tdt_all","15136"
"X-case","obl","case","yläreunan","lähelle","ylä#reuna","lähelle","NOUN","ADP","1","h1034.16","tdt_all","15136"
"X-case","obl","case","yläreunan","saakka","ylä#reuna","saakka","NOUN","ADP","2","h1034.16","tdt_all","15136"
"X-case","obl","case","Sahin","mukaan","Sahi","mukaan","PROPN","ADP","1","h1042.10","tdt_all","15136"
"X-case","nmod","case","erikoiskoe","jälkeen","erikois#koe","jälkeen","NOUN","ADP","2","h1042.15","tdt_all","15136"
"X-case","obl","case","vierustoja","pitkin","vierusta","pitkin","NOUN","ADP","1","h1042.24","tdt_all","15136"
"X-case","root","case","sun","kanssas","sinä","kanssa","PRON","ADP","1","h1071.6","tdt_all","15136"
"X-case","obl","case","vuotta","sitten","vuosi","sitten","NOUN","ADP","1","h1071.10","tdt_all","15136"
"X-case","nmod","case","toteuttamista","varten","toteuttaminen","varten","NOUN","ADP","1","j002.2","tdt_all","15136"
"X-case","nmod","case","toteuttamista","varten","toteuttaminen","varten","NOUN","ADP","1","j002.2","tdt_all","15136"
"X-case","obl","case","tämän","vuoksi","tämä","vuoksi","PRON","ADP","1","j002.2","tdt_all","15136"
"X-case","obl","case","määritelmien","lisäksi","määritelmä","lisäksi","NOUN","ADP","1","j002.9","tdt_all","15136"
"case-X","case","obl","ennen","laatimista","ennen","laatiminen","ADP","NOUN","2","j002.11","tdt_all","15136"
"case-X","case","obl","ennen","allekirjoittamista","ennen","allekirjoittaminen","ADP","NOUN","1","j002.14","tdt_all","15136"
"X-case","obl","case","valvontaohjelmien","puitteissa","valvonta#ohjelma","puitteissa","NOUN","ADP","1","j002.15","tdt_all","15136"
"X-case","obl","case","lainsäädännön","mukaan","lain#säädäntö","mukaan","NOUN","ADP","1","j002.15","tdt_all","15136"
"X-case","obl","case","yhteisön","välillä","yhteisö","välillä","NOUN","ADP","4","j002.29","tdt_all","15136"
"case-X","case","obl","ennen","31","ennen","31","ADP","NUM","1","j002.34","tdt_all","15136"
"X-case","nmod","case","Neuvoston","puolesta","neuvosto","puolesta","NOUN","ADP","1","j002.45","tdt_all","15136"
"case-X","case","nmod","kohti","kulinariaa","kohti","kulinaria","ADP","NOUN","1","s106.1","tdt_all","15136"
"X-case","obl","case","Raaka-aineiden","suhteen","raaka#aine","suhteen","NOUN","ADP","1","s106.23","tdt_all","15136"
"X-case","obl","case","Lihan","suhteen","liha","suhteen","NOUN","ADP","1","s106.25","tdt_all","15136"
"X-case","obl","case","Raaka-aineiden","kanssa","raaka#aine","kanssa","NOUN","ADP","1","s106.27","tdt_all","15136"
"X-case","obl","case","onnistumisen","puolesta","onnistuminen","puolesta","NOUN","ADP","3","s106.33","tdt_all","15136"
"case-X","case","nmod","ilman","monitoimikonetta","ilman","moni#toimi#kone","ADP","NOUN","1","s106.33","tdt_all","15136"
"X-case","obl","case","suolen","sisään","suoli","sisään","NOUN","ADP","1","s106.36","tdt_all","15136"
"X-case","obl","case","riskeistä","huolimatta","riski","huolimatta","NOUN","ADP","1","s106.41","tdt_all","15136"
"X-case","nmod","case","vuosi","sitten","vuosi","sitten","NOUN","ADP","1","s106.41","tdt_all","15136"
"X-case","obl","case","apuleipurien","lisäksi","apu#leipuri","lisäksi","NOUN","ADP","3","s106.46","tdt_all","15136"
"X-case","root","case","henkäyksen","päässä","henkäys","päässä","NOUN","ADP","1","t044.1","tdt_all","15136"
"case-X","case","advcl","ennen","pelastuspakettia","ennen","pelastus#paketti","ADP","NOUN","3","t044.7","tdt_all","15136"
"X-case","obl","case","tulosten","mukaan","tulos","mukaan","NOUN","ADP","1","u019.7","tdt_all","15136"
"X-case","obl","case","oppimisprosessin","kautta","oppimis#prosessi","kautta","NOUN","ADP","1","u019.9","tdt_all","15136"
"X-case","obl","case","erottamisen","kautta","erottaminen","kautta","NOUN","ADP","3","u019.13","tdt_all","15136"
"X-case","obl","case","Peltolan","mukaan","Peltola","mukaan","PROPN","ADP","1","u019.16","tdt_all","15136"
"X-case","nmod","case","laitoksen","kanssa","laitos","kanssa","NOUN","ADP","1","u031.10","tdt_all","15136"
"X-case","obl","case","2000-luvulle","saakka","2000#luku","saakka","NOUN","ADP","1","w002.5","tdt_all","15136"
"X-case","nmod","case","Lumiukon","ohella","lumi#ukko","ohella","NOUN","ADP","1","w031.4","tdt_all","15136"
"X-case","obl","case","jäsenten","kanssa","jäsen","kanssa","NOUN","ADP","1","w031.6","tdt_all","15136"
"X-case","nmod","case","Miyavin","ohella","Miyav","ohella","PROPN","ADP","9","w041.2","tdt_all","15136"
"X-case","obl","case","Argentiinan","välillä","Argentiina","välillä","PROPN","ADP","3","w043.11","tdt_all","15136"
"X-case","obl","case","rangaistuspotkukilpailun","jälkeen","rangaistus#potku#kilpailu","jälkeen","NOUN","ADP","1","w043.13","tdt_all","15136"
"X-case","obl","case","tasapelin","jälkeen","tasa#peli","jälkeen","NOUN","ADP","1","w043.14","tdt_all","15136"
"X-case","obl","case","vaiheiden","jälkeen","vaihe","jälkeen","NOUN","ADP","1","w043.15","tdt_all","15136"
"X-case","obl","case","rangaistuspotkukilpailun","jälkeen","rangaistus#potku#kilpailu","jälkeen","NOUN","ADP","1","w043.19","tdt_all","15136"
"case-X","case","obl","Ennen","loppuottelua","ennen","loppu#ottelu","ADP","NOUN","1","w043.23","tdt_all","15136"
"X-case","obl","case","finaalitappiosta","huolimatta","finaali#tappio","huolimatta","NOUN","ADP","1","w043.27","tdt_all","15136"
"X-case","obl","case","sen","jälkeen","se","jälkeen","PRON","ADP","1","w063.6","tdt_all","15136"
"X-case","obl","case","sodan","jälkeen","sota","jälkeen","NOUN","ADP","1","w063.7","tdt_all","15136"
"X-case","nmod","case","osastoa","lukuun","osasto","lukuun","NOUN","ADV","1","w063.8","tdt_all","15136"
"case-X","case","obl","Ennen","siirtymistään","ennen","siirtyminen","ADP","NOUN","2","w098.3","tdt_all","15136"
"X-case","obl","case","Son","vastaan","Son","vastaan","PROPN","ADP","2","w137.5","tdt_all","15136"
"X-case","obl","case","Turnauksen","jälkeen","turnaus","jälkeen","NOUN","ADP","1","w137.7","tdt_all","15136"
"X-case","obl","case","Piccoloa","vastaan","Piccolo","vastaan","PROPN","ADP","1","w137.7","tdt_all","15136"
"X-case","obl","case","Nappaa","vastaan","Nappa","vastaan","PROPN","ADP","1","w137.10","tdt_all","15136"
"X-case","obl","case","Celliä","vastaan","Cell","vastaan","PROPN","ADP","7","w137.11","tdt_all","15136"
"X-case","obl","case","sankarin","mukaan","sankari","mukaan","NOUN","ADP","5","w177.3","tdt_all","15136"
"X-case","obl","case","Siihen","asti","se","asti","PRON","ADP","1","w177.4","tdt_all","15136"
"X-case","obl","case","yrityksen","kanssa","yritys","kanssa","NOUN","ADP","5","w182.8","tdt_all","15136"
