"order","relfirst","relsecond","tokenfirst","tokensecond","lemmafirst","lemmasecond","uposfirst","upossecond","hmLength","sentence","source","size"
"case-X","case","obl","kanssa","kameraryhmäni","kanssa","kamera#ryhmä","ADP","NOUN","1","b204.4","tdt_all_to_prep_target","15129"
"case-X","case","obl","ennen","yhtätoista","ennen","yksi#toista","ADP","NUM","1","b204.4","tdt_all_to_prep_target","15129"
"case-X","case","obl","vastassa","minun","vastassa","minä","ADP","PRON","1","b204.5","tdt_all_to_prep_target","15129"
"case-X","case","obl","kanssa","joiden","kanssa","joka","ADP","PRON","1","b204.5","tdt_all_to_prep_target","15129"
"case-X","case","obl","kohti","showroomia","kohti","showroom","ADP","NOUN","1","b204.5","tdt_all_to_prep_target","15129"
"case-X","case","obl","kanssa","Sallan","kanssa","Salla","ADP","PROPN","1","b204.6","tdt_all_to_prep_target","15129"
"case-X","case","nmod","kanssa","kamerani","kanssa","kamera","ADP","NOUN","1","b204.8","tdt_all_to_prep_target","15129"
"case-X","case","obl","keskellä","showroomia","keskellä","showroom","ADP","NOUN","1","b204.21","tdt_all_to_prep_target","15129"
"case-X","case","obl","kanssa","Sallan","kanssa","Salla","ADP","PROPN","1","b204.26","tdt_all_to_prep_target","15129"
"case-X","case","obl","sisään","tuon","sisään","tuo","ADP","PRON","1","b204.27","tdt_all_to_prep_target","15129"
"case-X","case","obl","lomassa","tutustumisen","lomassa","tutustuminen","ADP","NOUN","2","b204.29","tdt_all_to_prep_target","15129"
"case-X","case","obl","vuoksi","punttien","vuoksi","puntti","ADP","NOUN","3","b204.33","tdt_all_to_prep_target","15129"
"case-X","case","nmod","lisäksi","eväiden","lisäksi","eväs","ADP","NOUN","2","b204.45","tdt_all_to_prep_target","15129"
"case-X","case","obl","varten","näitä","varten","tämä","ADP","PRON","1","b204.49","tdt_all_to_prep_target","15129"
"case-X","case","obl","varten","kameraryhmää","varten","kamera#ryhmä","ADP","NOUN","1","b204.57","tdt_all_to_prep_target","15129"
"case-X","case","obl","lähtien","alusta","lähtien","alku","ADP","NOUN","1","b504.4","tdt_all_to_prep_target","15129"
"case-X","case","nmod","sijasta","14","sijasta","14","ADP","NUM","1","b504.13","tdt_all_to_prep_target","15129"
"case-X","case","obl","mennessä","tähän","mennessä","tämä","ADP","PRON","1","b504.17","tdt_all_to_prep_target","15129"
"case-X","case","obl","sitten","vuotta","sitten","vuosi","ADP","NOUN","2","b504.21","tdt_all_to_prep_target","15129"
"case-X","case","obl","sitten","aika","sitten","aika","ADP","NOUN","3","b509.2","tdt_all_to_prep_target","15129"
"case-X","case","obl","jälkeen","korjauksen","jälkeen","korjaus","ADP","NOUN","1","b509.16","tdt_all_to_prep_target","15129"
"case-X","case","obl","kanssa","Caron","kanssa","Caro","ADP","PROPN","1","b605.7","tdt_all_to_prep_target","15129"
"X-case","obl","case","viikon","päässä","viikko","päässä","NOUN","ADV","1","b605.9","tdt_all_to_prep_target","15129"
"case-X","case","obl","kera","kyljysten","kera","kyljys","ADP","NOUN","2","b716.14","tdt_all_to_prep_target","15129"
"case-X","case","obl","sitten","vuosia","sitten","vuosi","ADP","NOUN","2","e1039.13","tdt_all_to_prep_target","15129"
"case-X","case","ccomp","takana","epäluottamuslauseen","takana","epä#luottamus#lause","ADP","NOUN","4","e1050.3","tdt_all_to_prep_target","15129"
"case-X","case","nmod","lisäksi","syiden","lisäksi","syy","ADP","NOUN","2","e1059.8","tdt_all_to_prep_target","15129"
"case-X","case","obl","puolesta","ehdotuksen","puolesta","ehdotus","ADP","NOUN","2","e1059.8","tdt_all_to_prep_target","15129"
"case-X","case","obl","vuoksi","väärinkäsityksen","vuoksi","väärin#käsitys","ADP","NOUN","2","e1059.9","tdt_all_to_prep_target","15129"
"case-X","case","obl","varten","toteuttamista","varten","toteuttaminen","ADP","NOUN","4","e1059.10","tdt_all_to_prep_target","15129"
"case-X","case","obl","puitteissa","mietinnön","puitteissa","mietintö","ADP","NOUN","2","e1059.18","tdt_all_to_prep_target","15129"
"case-X","case","obl","takaa","niiden","takaa","se","ADP","PRON","1","f204.5","tdt_all_to_prep_target","15129"
"case-X","case","root","välissä","metsien","välissä","metsä","ADP","NOUN","2","f502.3","tdt_all_to_prep_target","15129"
"case-X","case","obl","ympärille","puiden","ympärille","puu","ADP","NOUN","1","f502.8","tdt_all_to_prep_target","15129"
"case-X","case","conj","ympärillä","puiden","ympärillä","puu","ADP","NOUN","10","f502.13","tdt_all_to_prep_target","15129"
"case-X","case","obl","myötä","ajan","myötä","aika","ADP","NOUN","1","f502.20","tdt_all_to_prep_target","15129"
"case-X","case","obl","kanssa","tämän","kanssa","tämä","ADP","PRON","1","f502.21","tdt_all_to_prep_target","15129"
"case-X","case","root","Ennen","sairaalaa","ennen","sairaala","ADP","NOUN","1","f604.1","tdt_all_to_prep_target","15129"
